Number ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,Salary
1,0.38,0.53,2,157,3,0,1,0,SALES,LOW
2,0.8,0.86,5,262,6,0,1,0,SALES,MEDIUM
3,0.11,0.88,7,272,4,0,1,0,SALES,MEDIUM
4,0.72,0.87,5,223,5,0,1,0,SALES,LOW
5,0.37,0.52,2,159,3,0,1,0,SALES,LOW
6,0.41,0.5,2,153,3,0,1,0,SALES,LOW
7,0.1,0.77,6,247,4,0,1,0,SALES,LOW
8,0.92,0.85,5,259,5,0,1,0,SALES,LOW
9,0.89,1,5,224,5,0,1,0,SALES,LOW
10,0.42,0.53,2,142,3,0,1,0,SALES,LOW
11,0.45,0.54,2,135,3,0,1,0,SALES,LOW
12,0.11,0.81,6,305,4,0,1,0,SALES,LOW
13,0.84,0.92,4,234,5,0,1,0,SALES,LOW
14,0.41,0.55,2,148,3,0,1,0,SALES,LOW
15,0.36,0.56,2,137,3,0,1,0,SALES,LOW
16,0.38,0.54,2,143,3,0,1,0,SALES,LOW
17,0.45,0.47,2,160,3,0,1,0,SALES,LOW
18,0.78,0.99,4,255,6,0,1,0,SALES,LOW
19,0.45,0.51,2,160,3,1,1,1,SALES,LOW
20,0.76,0.89,5,262,5,0,1,0,SALES,LOW
21,0.11,0.83,6,282,4,0,1,0,SALES,LOW
22,0.38,0.55,2,147,3,0,1,0,SALES,LOW
23,0.09,0.95,6,304,4,0,1,0,SALES,LOW
24,0.46,0.57,2,139,3,0,1,0,SALES,LOW
25,0.4,0.53,2,158,3,0,1,0,SALES,LOW
26,0.89,0.92,5,242,5,0,1,0,SALES,LOW
27,0.82,0.87,4,239,5,0,1,0,SALES,LOW
28,0.4,0.49,2,135,3,0,1,0,ACCOUNTING,LOW
29,0.41,0.46,2,128,3,0,1,0,ACCOUNTING,LOW
30,0.38,0.5,2,132,3,0,1,0,ACCOUNTING,LOW
31,0.09,0.62,6,294,4,0,1,0,HR,LOW
32,0.45,0.57,2,134,3,0,1,0,HR,LOW
33,0.4,0.51,2,145,3,0,1,0,HR,LOW
34,0.45,0.55,2,140,3,0,1,0,HR,LOW
